libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  1.56%; accuracy_at_5 =  5.08%; loss = 4.592211  (0.525272 s/it)
Iteration    20: accuracy_at_1 =  0.00%; accuracy_at_5 =  4.30%; loss = 4.598649  (0.529005 s/it)
Iteration    30: accuracy_at_1 =  0.39%; accuracy_at_5 =  6.25%; loss = 4.602214  (0.528604 s/it)
Iteration    40: accuracy_at_1 =  1.95%; accuracy_at_5 =  8.20%; loss = 4.552621  (0.528904 s/it)
Iteration    50: accuracy_at_1 =  3.12%; accuracy_at_5 =  8.20%; loss = 4.525917  (0.528801 s/it)
Iteration    60: accuracy_at_1 =  2.34%; accuracy_at_5 = 11.72%; loss = 4.524890  (0.528963 s/it)
Iteration    70: accuracy_at_1 =  2.73%; accuracy_at_5 =  8.20%; loss = 4.481785  (0.528705 s/it)
Iteration    80: accuracy_at_1 =  1.56%; accuracy_at_5 =  8.20%; loss = 4.489279  (0.529135 s/it)
Iteration    90: accuracy_at_1 =  1.56%; accuracy_at_5 = 10.16%; loss = 4.457095  (0.528804 s/it)
Iteration   100: accuracy_at_1 =  4.69%; accuracy_at_5 = 13.28%; loss = 4.409836  (0.529055 s/it)
Iteration   110: accuracy_at_1 =  1.17%; accuracy_at_5 = 12.89%; loss = 4.430385  (0.529019 s/it)
Iteration   120: accuracy_at_1 =  3.52%; accuracy_at_5 = 13.67%; loss = 4.383886  (0.529477 s/it)
Iteration   130: accuracy_at_1 =  5.08%; accuracy_at_5 = 17.97%; loss = 4.327138  (0.530064 s/it)
Iteration   140: accuracy_at_1 =  4.30%; accuracy_at_5 = 15.23%; loss = 4.355321  (0.530132 s/it)
Iteration   150: accuracy_at_1 =  3.12%; accuracy_at_5 = 12.11%; loss = 4.428639  (0.529752 s/it)
Iteration   160: accuracy_at_1 =  4.30%; accuracy_at_5 = 14.45%; loss = 4.331289  (0.530461 s/it)
Iteration   170: accuracy_at_1 =  4.30%; accuracy_at_5 = 15.23%; loss = 4.336147  (0.530137 s/it)
Iteration   180: accuracy_at_1 =  2.34%; accuracy_at_5 = 11.33%; loss = 4.367730  (0.529758 s/it)
Iteration   190: accuracy_at_1 =  5.86%; accuracy_at_5 = 17.19%; loss = 4.331417  (0.530840 s/it)
Iteration   200: accuracy_at_1 =  3.91%; accuracy_at_5 = 17.97%; loss = 4.306021  (0.529605 s/it)
Iteration   210: accuracy_at_1 =  3.12%; accuracy_at_5 = 17.97%; loss = 4.277189  (0.528959 s/it)
Iteration   220: accuracy_at_1 =  6.25%; accuracy_at_5 = 21.48%; loss = 4.300768  (0.529067 s/it)
Iteration   230: accuracy_at_1 =  4.30%; accuracy_at_5 = 17.19%; loss = 4.272802  (0.528905 s/it)
Iteration   240: accuracy_at_1 =  4.30%; accuracy_at_5 = 15.23%; loss = 4.291972  (0.528907 s/it)
Iteration   250: accuracy_at_1 =  3.52%; accuracy_at_5 = 12.89%; loss = 4.320731  (0.529128 s/it)
Iteration   260: accuracy_at_1 =  5.86%; accuracy_at_5 = 19.92%; loss = 4.256227  (0.529895 s/it)
Iteration   270: accuracy_at_1 =  4.69%; accuracy_at_5 = 17.58%; loss = 4.238354  (0.529872 s/it)
Iteration   280: accuracy_at_1 =  3.12%; accuracy_at_5 = 19.14%; loss = 4.263218  (0.529953 s/it)
Iteration   290: accuracy_at_1 =  4.69%; accuracy_at_5 = 20.31%; loss = 4.193149  (0.530372 s/it)
Iteration   300: accuracy_at_1 =  3.91%; accuracy_at_5 = 15.62%; loss = 4.222005  (0.530212 s/it)
Iteration   310: accuracy_at_1 =  7.03%; accuracy_at_5 = 23.44%; loss = 4.079129  (0.529925 s/it)
Iteration   320: accuracy_at_1 =  7.03%; accuracy_at_5 = 23.05%; loss = 4.104952  (0.529589 s/it)
Iteration   330: accuracy_at_1 =  3.52%; accuracy_at_5 = 12.89%; loss = 4.212060  (0.529147 s/it)
Iteration   340: accuracy_at_1 =  7.42%; accuracy_at_5 = 21.88%; loss = 4.078998  (0.529061 s/it)
Iteration   350: accuracy_at_1 =  5.86%; accuracy_at_5 = 23.44%; loss = 4.159074  (0.529026 s/it)
Iteration   360: accuracy_at_1 =  6.25%; accuracy_at_5 = 21.09%; loss = 4.232880  (0.529358 s/it)
Iteration   370: accuracy_at_1 =  4.30%; accuracy_at_5 = 17.97%; loss = 4.134129  (0.528903 s/it)
Iteration   380: accuracy_at_1 =  8.20%; accuracy_at_5 = 23.83%; loss = 4.065591  (0.528611 s/it)
Iteration   390: accuracy_at_1 =  5.86%; accuracy_at_5 = 23.44%; loss = 4.118897  (0.531114 s/it)
Iteration   400: accuracy_at_1 =  7.42%; accuracy_at_5 = 24.22%; loss = 4.070582  (0.529895 s/it)
Iteration   410: accuracy_at_1 =  8.98%; accuracy_at_5 = 24.61%; loss = 4.069900  (0.529825 s/it)
Iteration   420: accuracy_at_1 =  7.42%; accuracy_at_5 = 26.56%; loss = 4.134605  (0.529847 s/it)
Iteration   430: accuracy_at_1 =  4.30%; accuracy_at_5 = 17.97%; loss = 4.196643  (0.530474 s/it)
Iteration   440: accuracy_at_1 =  7.81%; accuracy_at_5 = 26.17%; loss = 4.035867  (0.530646 s/it)
Iteration   450: accuracy_at_1 =  5.47%; accuracy_at_5 = 18.36%; loss = 4.190733  (0.529841 s/it)
Iteration   460: accuracy_at_1 =  7.03%; accuracy_at_5 = 23.44%; loss = 4.033716  (0.529180 s/it)
Iteration   470: accuracy_at_1 =  7.03%; accuracy_at_5 = 24.61%; loss = 3.994594  (0.528661 s/it)
Iteration   480: accuracy_at_1 =  7.81%; accuracy_at_5 = 26.56%; loss = 4.035600  (0.528859 s/it)
Iteration   490: accuracy_at_1 =  6.25%; accuracy_at_5 = 25.78%; loss = 4.005364  (0.529059 s/it)
Iteration   500: accuracy_at_1 =  7.03%; accuracy_at_5 = 23.83%; loss = 3.950799  (0.528759 s/it)
Iteration   510: accuracy_at_1 = 10.16%; accuracy_at_5 = 26.56%; loss = 4.015617  (0.530635 s/it)
Iteration   520: accuracy_at_1 =  8.20%; accuracy_at_5 = 25.78%; loss = 4.000541  (0.531208 s/it)
Iteration   530: accuracy_at_1 =  8.59%; accuracy_at_5 = 22.66%; loss = 4.049779  (0.529775 s/it)
Iteration   540: accuracy_at_1 =  7.42%; accuracy_at_5 = 25.39%; loss = 3.974853  (0.529621 s/it)
Iteration   550: accuracy_at_1 =  9.77%; accuracy_at_5 = 31.64%; loss = 3.925283  (0.530158 s/it)
Iteration   560: accuracy_at_1 = 11.33%; accuracy_at_5 = 32.42%; loss = 3.825866  (0.530156 s/it)
Iteration   570: accuracy_at_1 =  8.59%; accuracy_at_5 = 29.69%; loss = 3.961336  (0.530075 s/it)
Iteration   580: accuracy_at_1 =  7.42%; accuracy_at_5 = 25.39%; loss = 3.964036  (0.529669 s/it)
Iteration   590: accuracy_at_1 =  8.98%; accuracy_at_5 = 26.17%; loss = 3.993503  (0.529302 s/it)
Iteration   600: accuracy_at_1 =  8.59%; accuracy_at_5 = 28.12%; loss = 3.965369  (0.528486 s/it)
Iteration   610: accuracy_at_1 =  6.25%; accuracy_at_5 = 24.61%; loss = 4.021644  (0.528951 s/it)
Iteration   620: accuracy_at_1 =  9.38%; accuracy_at_5 = 25.00%; loss = 3.994199  (0.528702 s/it)
Iteration   630: accuracy_at_1 =  5.08%; accuracy_at_5 = 24.61%; loss = 3.946238  (0.529414 s/it)
Iteration   640: accuracy_at_1 = 11.72%; accuracy_at_5 = 32.03%; loss = 3.850684  (0.530405 s/it)
Iteration   650: accuracy_at_1 = 10.55%; accuracy_at_5 = 32.03%; loss = 3.868208  (0.530171 s/it)
Iteration   660: accuracy_at_1 =  8.20%; accuracy_at_5 = 29.30%; loss = 3.906905  (0.530515 s/it)
Iteration   670: accuracy_at_1 = 10.94%; accuracy_at_5 = 32.42%; loss = 3.850783  (0.529875 s/it)
Iteration   680: accuracy_at_1 =  9.77%; accuracy_at_5 = 26.95%; loss = 3.938949  (0.530310 s/it)
Iteration   690: accuracy_at_1 =  9.38%; accuracy_at_5 = 25.00%; loss = 3.977274  (0.530333 s/it)
Iteration   700: accuracy_at_1 =  7.42%; accuracy_at_5 = 26.95%; loss = 4.003086  (0.530338 s/it)
Iteration   710: accuracy_at_1 = 10.94%; accuracy_at_5 = 31.25%; loss = 3.927819  (0.529357 s/it)
Iteration   720: accuracy_at_1 = 10.55%; accuracy_at_5 = 30.47%; loss = 3.908076  (0.528903 s/it)
Iteration   730: accuracy_at_1 = 11.33%; accuracy_at_5 = 29.30%; loss = 4.065795  (0.529209 s/it)
Iteration   740: accuracy_at_1 =  9.77%; accuracy_at_5 = 29.69%; loss = 3.933073  (0.528813 s/it)
Iteration   750: accuracy_at_1 = 13.28%; accuracy_at_5 = 33.59%; loss = 3.755735  (0.529151 s/it)
Iteration   760: accuracy_at_1 = 10.16%; accuracy_at_5 = 28.91%; loss = 3.906223  (0.529115 s/it)
Iteration   770: accuracy_at_1 =  9.38%; accuracy_at_5 = 28.91%; loss = 3.869679  (0.529815 s/it)
Iteration   780: accuracy_at_1 = 10.55%; accuracy_at_5 = 31.64%; loss = 3.880740  (0.531310 s/it)
Iteration   790: accuracy_at_1 = 14.84%; accuracy_at_5 = 32.42%; loss = 3.873299  (0.530500 s/it)
Iteration   800: accuracy_at_1 = 11.33%; accuracy_at_5 = 27.73%; loss = 3.904628  (0.530655 s/it)
Iteration   810: accuracy_at_1 = 11.33%; accuracy_at_5 = 33.59%; loss = 3.911678  (0.529826 s/it)
Iteration   820: accuracy_at_1 = 10.16%; accuracy_at_5 = 26.56%; loss = 4.008140  (0.529617 s/it)
Iteration   830: accuracy_at_1 =  9.77%; accuracy_at_5 = 29.30%; loss = 3.861456  (0.530576 s/it)
Iteration   840: accuracy_at_1 = 12.50%; accuracy_at_5 = 28.52%; loss = 3.890894  (0.528856 s/it)
Iteration   850: accuracy_at_1 = 14.06%; accuracy_at_5 = 33.20%; loss = 3.891740  (0.529266 s/it)
Iteration   860: accuracy_at_1 = 11.33%; accuracy_at_5 = 35.55%; loss = 3.772273  (0.529297 s/it)
Iteration   870: accuracy_at_1 = 10.55%; accuracy_at_5 = 33.98%; loss = 3.788493  (0.529375 s/it)
Iteration   880: accuracy_at_1 = 11.72%; accuracy_at_5 = 35.16%; loss = 3.757256  (0.529703 s/it)
Iteration   890: accuracy_at_1 = 10.94%; accuracy_at_5 = 26.17%; loss = 3.943330  (0.528851 s/it)
Iteration   900: accuracy_at_1 =  8.20%; accuracy_at_5 = 35.16%; loss = 3.764912  (0.530214 s/it)
Iteration   910: accuracy_at_1 = 12.50%; accuracy_at_5 = 32.42%; loss = 3.859970  (0.530143 s/it)
Iteration   920: accuracy_at_1 = 13.28%; accuracy_at_5 = 32.03%; loss = 3.781342  (0.529897 s/it)
Iteration   930: accuracy_at_1 = 10.55%; accuracy_at_5 = 31.64%; loss = 3.985090  (0.530576 s/it)
Iteration   940: accuracy_at_1 = 10.55%; accuracy_at_5 = 35.16%; loss = 3.768618  (0.531350 s/it)
Iteration   950: accuracy_at_1 = 10.55%; accuracy_at_5 = 37.11%; loss = 3.762286  (0.530367 s/it)
Iteration   960: accuracy_at_1 = 12.50%; accuracy_at_5 = 36.33%; loss = 3.809862  (0.530294 s/it)
Iteration   970: accuracy_at_1 =  9.38%; accuracy_at_5 = 29.30%; loss = 3.882944  (0.529059 s/it)
Iteration   980: accuracy_at_1 = 10.94%; accuracy_at_5 = 29.30%; loss = 3.828054  (0.529096 s/it)
